форма шляпки_колокольчатая,форма шляпки_втопленная,форма шляпки_плоская,форма шляпки_кнопочная,форма шляпки_коническая,поверхность шляпки_чешуйчатая,поверхность шляпки_волокнистая,поверхность шляпки_желобковатая,цвет шляпки_желтая,цвет шляпки_белая,цвет шляпки_серая,цвет шляпки_красная,цвет шляпки_розовая,цвет шляпки_бежевая,цвет шляпки_фиолетовая,цвет шляпки_бурая,цвет шляпки_зеленая,повреждения_нет,запах_миндальный,запах_анисовый,запах_нет,запах_тухлый,запах_смолистый,запах_рыбный,запах_пряный,запах_затхлый,крепление пластинок_прикрепленные,расстояние между пластинками_плотные,размер пластинок_широкие,цвет пластинок_коричневые,цвет пластинок_серые,цвет пластинок_розовые,цвет пластинок_белые,цвет пластинок_шоколадные,цвет пластинок_фиолетовые,цвет пластинок_красные,цвет пластинок_бежевые,цвет пластинок_зеленые,цвет пластинок_желтые,цвет пластинок_оранжевые,форма ножки_сужающиеся,корень ножки_клубневая,корень ножки_луковичная,корень ножки_корневая,поверхность ножки выше кольца_волокнистая,поверхность ножки выше кольца_шелковистая,поверхность ножки выше кольца_чешуйчатая,поверхность ножки ниже кольца_волокнистая,поверхность ножки ниже кольца_чешуйчатая,поверхность ножки ниже кольца_шелковистая,цвет ножки выше кольца_серый,цвет ножки выше кольца_розовый,цвет ножки выше кольца_коричневый,цвет ножки выше кольца_бежевый,цвет ножки выше кольца_красный,цвет ножки выше кольца_оранжевый,цвет ножки выше кольца_коричнево-красный,цвет ножки выше кольца_желтый,цвет ножки ниже кольца_розовый,цвет ножки ниже кольца_серый,цвет ножки ниже кольца_бежевый,цвет ножки ниже кольца_коричневый,цвет ножки ниже кольца_красный,цвет ножки ниже кольца_желтый,цвет ножки ниже кольца_оранжевый,цвет ножки ниже кольца_коричнево-красный,цвет вуали_коричневый,цвет вуали_оранжевый,цвет вуали_желтый,количество колец_два,количество колец_нет,тип кольца_исчезающее,тип кольца_крупное,тип кольца_расширяющееся,тип кольца_нет,цвет спор_коричневый,цвет спор_фиолетовый,цвет спор_шоколадный,цвет спор_белый,цвет спор_зеленый,цвет спор_оранжевый,цвет спор_желтый,цвет спор_бежевый,популяция_многочисленное,популяция_несколько,популяция_одиночное,популяция_скопленное,среда обитания_травы,среда обитания_луга,среда обитания_леса,среда обитания_тропинки,среда обитания_загрязненная,среда обитания_листва,съедобность_съедобен
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1
1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1
0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1
0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1
1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1
1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
