форма шляпки,поверхность шляпки,цвет шляпки,повреждения,запах,крепление пластинок,расстояние между пластинками,размер пластинок,цвет пластинок,форма ножки,корень ножки,поверхность ножки выше кольца,поверхность ножки ниже кольца,цвет ножки выше кольца,цвет ножки ниже кольца,тип вуали,цвет вуали,количество колец,тип кольца,цвет спор,популяция,среда обитания,съедобность
выпуклая,гладкая,коричневая,переломы,жгучий,свободные,близкие,узкие,черные,удлиняющиеся,равномерная,гладкая,гладкая,белый,белый,частичная,белый,одно,подвесное,черный,рассеянное,городская,ядовит
выпуклая,гладкая,желтая,переломы,миндальный,свободные,близкие,широкие,черные,удлиняющиеся,клубневая,гладкая,гладкая,белый,белый,частичная,белый,одно,подвесное,коричневый,многочисленное,травы,съедобен
колокольчатая,гладкая,белая,переломы,анисовый,свободные,близкие,широкие,коричневые,удлиняющиеся,клубневая,гладкая,гладкая,белый,белый,частичная,белый,одно,подвесное,коричневый,многочисленное,луга,съедобен
выпуклая,чешуйчатая,белая,переломы,жгучий,свободные,близкие,узкие,коричневые,удлиняющиеся,равномерная,гладкая,гладкая,белый,белый,частичная,белый,одно,подвесное,черный,рассеянное,городская,ядовит
выпуклая,гладкая,серая,нет,нет,свободные,плотные,широкие,черные,сужающиеся,равномерная,гладкая,гладкая,белый,белый,частичная,белый,одно,исчезающее,коричневый,многочисленное,травы,съедобен
выпуклая,чешуйчатая,желтая,переломы,миндальный,свободные,близкие,широкие,коричневые,удлиняющиеся,клубневая,гладкая,гладкая,белый,белый,частичная,белый,одно,подвесное,черный,многочисленное,травы,съедобен
колокольчатая,гладкая,белая,переломы,миндальный,свободные,близкие,широкие,серые,удлиняющиеся,клубневая,гладкая,гладкая,белый,белый,частичная,белый,одно,подвесное,черный,многочисленное,луга,съедобен
колокольчатая,чешуйчатая,белая,переломы,анисовый,свободные,близкие,широкие,коричневые,удлиняющиеся,клубневая,гладкая,гладкая,белый,белый,частичная,белый,одно,подвесное,коричневый,рассеянное,луга,съедобен
выпуклая,чешуйчатая,белая,переломы,жгучий,свободные,близкие,узкие,розовые,удлиняющиеся,равномерная,гладкая,гладкая,белый,белый,частичная,белый,одно,подвесное,черный,несколько,травы,ядовит
колокольчатая,гладкая,желтая,переломы,миндальный,свободные,близкие,широкие,серые,удлиняющиеся,клубневая,гладкая,гладкая,белый,белый,частичная,белый,одно,подвесное,черный,рассеянное,луга,съедобен
выпуклая,чешуйчатая,желтая,переломы,анисовый,свободные,близкие,широкие,серые,удлиняющиеся,клубневая,гладкая,гладкая,белый,белый,частичная,белый,одно,подвесное,коричневый,многочисленное,травы,съедобен
выпуклая,чешуйчатая,желтая,переломы,миндальный,свободные,близкие,широкие,коричневые,удлиняющиеся,клубневая,гладкая,гладкая,белый,белый,частичная,белый,одно,подвесное,черный,рассеянное,луга,съедобен
колокольчатая,гладкая,желтая,переломы,миндальный,свободные,близкие,широкие,белые,удлиняющиеся,клубневая,гладкая,гладкая,белый,белый,частичная,белый,одно,подвесное,коричневый,рассеянное,травы,съедобен
выпуклая,чешуйчатая,белая,переломы,жгучий,свободные,близкие,узкие,черные,удлиняющиеся,равномерная,гладкая,гладкая,белый,белый,частичная,белый,одно,подвесное,коричневый,несколько,городская,ядовит
выпуклая,волокнистая,коричневая,нет,нет,свободные,плотные,широкие,коричневые,сужающиеся,равномерная,гладкая,волокнистая,белый,белый,частичная,белый,одно,исчезающее,черный,многочисленное,травы,съедобен
втопленная,волокнистая,серая,нет,нет,свободные,близкие,узкие,черные,удлиняющиеся,равномерная,гладкая,гладкая,белый,белый,частичная,белый,одно,подвесное,коричневый,одиночное,городская,съедобен
плоская,волокнистая,белая,нет,нет,свободные,плотные,широкие,черные,сужающиеся,равномерная,гладкая,гладкая,белый,белый,частичная,белый,одно,исчезающее,коричневый,многочисленное,травы,съедобен
